記録日時,投稿日時,テンプレート,post_id,表示数,いいね,返信,リポスト,引用
2026-08-19 23:59:07,2026-08-19 21:56:37,aruaru,18100234040215474,0,0,0,0,0
2026-08-21 00:01:33,2026-08-19 21:56:37,aruaru,18100234040215474,0,1,0,0,0
2026-08-21 00:01:33,2026-08-20 23:21:00,flash:1754531,18106169701879892,0,0,0,0,0
2026-08-21 00:01:33,2026-08-20 19:57:49,pickup:神奈川,18164910550457094,0,1,0,0,0
2026-08-21 00:01:33,2026-08-20 00:53:44,spec,18030547772839983,0,1,0,0,0
2026-08-21 00:01:33,2026-08-20 18:21:16,story:1601302,18146836558533060,0,1,0,0,0
2026-08-21 00:01:33,2026-08-20 11:13:04,today,18366977473241704,0,1,0,0,0
